Nom,Age,Nationalite,Valeur_Marchande,Prix_Raw,URL_Profil
Noah Okafor,23,Suisse,"20,00 mio. €","15,50 mio. €",https://www.transfermarkt.fr/noah-okafor/profil/spieler/346890
Granit Xhaka,30,Suisse,"20,00 mio. €","15,00 mio. €",https://www.transfermarkt.fr/granit-xhaka/profil/spieler/111455
Cengiz Ünder,26,Turquie,"20,00 mio. €","15,00 mio. €",https://www.transfermarkt.fr/cengiz-under/profil/spieler/341647
Ludovic Blas,25,France,"20,00 mio. €","15,00 mio. €",https://www.transfermarkt.fr/ludovic-blas/profil/spieler/288225
Sander Berge,25,Norvège,"20,00 mio. €","13,90 mio. €",https://www.transfermarkt.fr/sander-berge/profil/spieler/333014
Ismaïla Sarr,25,Sénégal,"20,00 mio. €","13,00 mio. €",https://www.transfermarkt.fr/ismaila-sarr/profil/spieler/410225
Fred,30,Brésil,"20,00 mio. €","9,74 mio. €",https://www.transfermarkt.fr/fred/profil/spieler/191614
Demarai Gray,27,Jamaïque,"20,00 mio. €","9,30 mio. €",https://www.transfermarkt.fr/demarai-gray/profil/spieler/292417
Ramy Bensebaini,28,Algérie,Inconnu,"20,00 mio. €",https://www.transfermarkt.fr/ramy-bensebaini/profil/spieler/284732
Raphaël Guerreiro,29,Portugal,Inconnu,"20,00 mio. €",https://www.transfermarkt.fr/raphael-guerreiro/profil/spieler/170986
İlkay Gündoğan,32,Allemagne,Inconnu,"20,00 mio. €",https://www.transfermarkt.fr/ilkay-gundogan/profil/spieler/53622
Boubakary Soumaré,24,France,Inconnu,"20,00 mio. €",https://www.transfermarkt.fr/boubakary-soumare/profil/spieler/344605
Jefferson Lerma,28,Colombie,Inconnu,"20,00 mio. €",https://www.transfermarkt.fr/jefferson-lerma/profil/spieler/262980
Jonathan Bamba,27,Côte d'Ivoire,Inconnu,"20,00 mio. €",https://www.transfermarkt.fr/jonathan-bamba/profil/spieler/292818
Ivan Ilić,22,Serbie,"19,00 mio. €","16,50 mio. €",https://www.transfermarkt.fr/ivan-ilic/profil/spieler/470794
Mauro Icardi,30,Argentine,"19,00 mio. €","10,00 mio. €",https://www.transfermarkt.fr/mauro-icardi/profil/spieler/68863
Taty Castellanos,24,Argentine,"15,00 mio. €","18,60 mio. €",https://www.transfermarkt.fr/taty-castellanos/profil/spieler/522784
Zeki Amdouni,22,Suisse,"10,00 mio. €","18,60 mio. €",https://www.transfermarkt.fr/zeki-amdouni/profil/spieler/548729
Edouard Mendy,31,Sénégal,"12,00 mio. €","18,50 mio. €",https://www.transfermarkt.fr/edouard-mendy/profil/spieler/442531
Claudio Echeverri,18,Argentine,"12,00 mio. €","18,50 mio. €",https://www.transfermarkt.fr/claudio-echeverri/profil/spieler/994536
